date,total_pc,index_pc,etp_pc,equity_pc,vix
2010-07-28,0.95,1.42,1.51,0.7,24.25
2010-07-29,0.96,1.4,1.79,0.65,24.13
2010-07-30,0.8,0.96,1.21,0.61,23.5
2010-08-02,0.9,1.8,1.24,0.56,22.01
2010-08-03,0.85,1.1,1.93,0.6,22.63
2010-08-04,0.81,1.56,1.26,0.56,22.21
2010-08-05,0.94,1.82,1.63,0.61,22.1
2010-08-06,0.89,1.13,1.49,0.58,21.74
2010-08-09,0.8,1.14,1.28,0.56,22.14
2010-08-10,1.0,1.67,1.37,0.63,22.37
2010-08-11,1.05,1.26,1.62,0.75,25.39
2010-08-12,0.98,1.51,1.54,0.61,25.73
2010-08-13,1.0,1.46,1.44,0.66,26.24
2010-08-16,0.9,1.08,1.2,0.7,26.1
2010-08-17,0.97,1.66,1.23,0.62,24.33
2010-08-18,1.2,1.53,2.54,0.67,24.59
2010-08-19,0.96,1.07,1.48,0.71,26.44
2010-08-20,1.03,1.42,1.48,0.73,25.49
2010-08-23,0.71,1.51,1.58,0.4,25.66
2010-08-24,0.96,0.92,1.68,0.73,27.46
2010-08-25,1.0,1.61,1.55,0.61,26.7
2010-08-26,0.93,1.05,1.55,0.62,27.37
2010-08-27,0.82,1.01,1.24,0.56,24.45
2010-08-30,0.95,1.49,1.43,0.58,27.21
2010-08-31,0.91,1.4,0.89,0.74,26.05
2010-09-01,0.82,1.29,1.17,0.48,23.89
2010-09-02,0.87,1.34,1.52,0.55,23.19
2010-09-03,0.94,1.8,1.01,0.56,21.31
2010-09-07,1.31,1.62,3.34,0.61,23.8
2010-09-08,0.93,1.42,1.57,0.54,23.25
2010-09-09,1.05,1.85,1.48,0.6,22.81
2010-09-10,1.22,1.36,2.88,0.66,21.99
2010-09-13,0.81,1.08,1.38,0.52,21.21
2010-09-14,0.89,1.53,1.05,0.59,21.56
2010-09-15,0.94,1.2,1.61,0.56,22.1
2010-09-16,0.83,0.84,1.36,0.58,21.72
2010-09-17,0.9,1.31,1.62,0.59,22.01
2010-09-20,0.78,1.57,1.29,0.48,21.5
2010-09-21,0.94,1.74,1.31,0.6,22.35
2010-09-22,0.95,1.21,1.44,0.73,22.51
2010-09-23,0.93,1.28,1.71,0.63,23.87
2010-09-24,0.84,1.22,1.6,0.53,21.71
2010-09-27,0.83,1.38,1.29,0.57,22.54
2010-09-28,1.0,2.31,1.4,0.59,22.6
2010-09-29,0.77,1.41,1.06,0.54,23.25
2010-09-30,0.83,1.22,1.34,0.52,23.7
2010-10-01,0.76,1.13,0.97,0.54,22.5
2010-10-04,0.81,0.96,1.47,0.59,23.53
2010-10-05,0.85,1.24,1.2,0.54,21.76
2010-10-06,0.84,1.46,1.14,0.58,21.49
2010-10-07,1.05,1.07,2.11,0.66,21.56
2010-10-08,0.84,1.29,1.35,0.55,20.71
2010-10-11,0.81,1.12,1.33,0.57,18.96
2010-10-12,1.1,1.75,2.43,0.51,18.93
2010-10-13,0.73,0.89,1.4,0.45,19.07
2010-10-14,0.81,1.22,1.19,0.57,19.88
2010-10-15,0.72,1.2,0.86,0.56,19.03
2010-10-18,0.83,1.04,2.03,0.56,19.09
2010-10-19,0.92,1.1,1.32,0.74,20.63
2010-10-20,0.98,1.44,1.6,0.66,19.79
2010-10-21,0.96,1.0,1.68,0.72,19.27
2010-10-22,0.88,1.07,1.38,0.68,18.78
2010-10-25,0.9,1.61,1.23,0.63,19.85
2010-10-26,0.89,2.1,1.2,0.6,20.22
2010-10-27,0.84,1.39,1.23,0.62,20.71
2010-10-28,0.85,1.27,1.55,0.6,20.88
2010-10-29,0.89,1.86,1.26,0.54,21.2
2010-11-01,0.86,1.39,1.2,0.63,21.83
2010-11-02,0.78,1.0,1.3,0.54,21.57
2010-11-03,0.88,1.62,1.42,0.52,19.56
2010-11-04,0.76,1.44,1.03,0.44,18.52
2010-11-05,0.67,1.26,1.25,0.41,18.26
2010-11-08,0.69,1.12,1.09,0.5,18.29
2010-11-09,0.83,1.46,1.22,0.56,19.08
2010-11-10,0.71,1.17,1.09,0.47,18.47
2010-11-11,0.75,0.98,1.35,0.55,18.64
2010-11-12,1.0,1.24,1.97,0.63,20.61
2010-11-15,0.77,0.99,1.5,0.55,20.2
2010-11-16,0.92,1.27,1.18,0.66,22.58
2010-11-17,0.89,1.44,1.22,0.56,21.76
2010-11-18,0.81,0.99,1.53,0.53,18.75
2010-11-19,0.66,0.62,1.07,0.56,18.04
2010-11-22,0.77,1.07,1.33,0.56,18.37
2010-11-23,0.92,1.39,1.18,0.7,20.63
2010-11-24,1.05,1.23,2.69,0.53,19.56
2010-11-26,0.83,0.72,1.53,0.64,22.22
2010-11-29,0.96,1.37,1.42,0.7,21.53
2010-11-30,0.86,1.34,1.29,0.57,23.54
2010-12-01,0.79,1.27,1.6,0.45,21.36
2010-12-02,0.69,1.03,1.19,0.45,19.39
2010-12-03,0.76,1.19,1.13,0.5,18.01
2010-12-06,0.71,1.03,1.22,0.49,18.02
2010-12-07,0.73,1.01,1.63,0.45,17.99
2010-12-08,0.71,1.22,1.19,0.47,17.74
2010-12-09,0.69,1.19,1.36,0.43,17.25
2010-12-10,0.73,1.24,1.44,0.42,17.61
2010-12-13,0.55,0.93,1.05,0.35,17.55
2010-12-14,0.82,0.71,2.37,0.5,17.61
2010-12-15,0.66,0.74,1.12,0.51,17.94
2010-12-16,0.85,0.69,2.45,0.5,17.39
2010-12-17,0.74,1.06,1.36,0.49,16.11
2010-12-20,0.73,1.27,0.87,0.58,16.41
2010-12-21,0.7,1.0,1.26,0.5,16.49
2010-12-22,0.8,1.52,1.25,0.47,15.45
2010-12-23,0.85,1.2,2.02,0.52,16.47
2010-12-27,0.74,1.29,1.28,0.53,17.67
2010-12-28,0.76,1.3,1.37,0.55,17.52
2010-12-29,0.74,1.49,1.02,0.52,17.28
2010-12-30,0.7,1.53,0.67,0.51,17.52
2010-12-31,0.97,1.26,1.52,0.7,17.75
2011-01-03,0.64,0.94,1.36,0.4,17.61
2011-01-04,0.63,0.89,1.18,0.43,17.38
2011-01-05,0.69,0.98,1.32,0.48,17.02
2011-01-06,0.71,0.76,2.23,0.46,17.4
2011-01-07,0.87,1.32,2.17,0.5,17.14
2011-01-10,0.78,1.04,1.53,0.54,17.54
2011-01-11,0.83,1.24,1.81,0.53,16.89
2011-01-12,0.81,1.1,1.88,0.45,16.24
2011-01-13,0.7,0.88,1.58,0.5,16.39
2011-01-14,0.58,0.93,1.3,0.37,15.46
2011-01-18,0.71,0.83,2.23,0.44,15.87
2011-01-19,0.82,1.37,1.48,0.47,17.31
2011-01-20,0.91,1.28,1.4,0.67,17.99
2011-01-21,0.79,1.23,1.49,0.55,18.47
2011-01-24,0.73,1.28,1.33,0.51,17.65
2011-01-25,0.92,1.31,1.96,0.63,17.59
2011-01-26,0.9,1.13,2.28,0.58,16.64
2011-01-27,1.0,1.79,2.21,0.56,16.15
2011-01-28,1.05,1.32,1.88,0.65,20.04
2011-01-31,1.0,1.83,1.6,0.61,19.53
2011-02-01,0.8,0.88,1.72,0.49,17.63
2011-02-02,0.75,1.48,1.78,0.45,17.3
2011-02-03,0.86,1.4,1.53,0.58,16.69
2011-02-04,0.87,1.06,1.47,0.64,15.93
2011-02-07,0.79,1.16,1.71,0.46,16.28
2011-02-08,0.81,1.2,1.55,0.52,15.81
2011-02-09,0.85,1.25,1.65,0.52,15.87
2011-02-10,0.78,0.84,1.94,0.55,16.09
2011-02-11,0.78,1.12,1.5,0.51,15.69
2011-02-14,0.85,1.57,1.73,0.51,15.95
2011-02-15,0.82,0.83,2.07,0.53,16.37
2011-02-16,0.91,1.41,1.41,0.58,16.72
2011-02-17,0.72,0.95,1.2,0.5,16.59
2011-02-18,0.9,1.18,1.59,0.61,16.43
2011-02-22,0.96,1.44,1.4,0.68,20.8
2011-02-23,0.95,0.99,1.51,0.72,22.13
2011-02-24,0.98,1.29,1.35,0.71,21.32
2011-02-25,0.82,1.35,1.35,0.49,19.22
2011-02-28,0.83,1.79,1.04,0.53,18.35
2011-03-01,0.93,1.31,1.43,0.64,21.01
2011-03-02,0.79,0.89,1.41,0.55,20.7
2011-03-03,0.85,1.17,1.43,0.55,18.6
2011-03-04,0.79,0.94,1.22,0.57,19.06
2011-03-07,0.91,0.9,1.64,0.64,20.66
2011-03-08,0.86,1.29,1.4,0.54,19.82
2011-03-09,0.86,1.69,0.92,0.6,20.22
2011-03-10,1.03,0.87,1.9,0.73,21.88
2011-03-11,1.06,1.46,1.52,0.62,20.08
2011-03-14,0.94,1.02,1.58,0.67,21.13
2011-03-15,1.06,0.91,1.91,0.71,24.32
2011-03-16,1.18,1.31,1.74,0.79,29.4
2011-03-17,1.04,1.05,1.78,0.71,26.37
2011-03-18,0.97,1.25,1.48,0.67,24.44
2011-03-21,0.74,1.11,1.25,0.49,20.61
2011-03-22,0.76,0.76,1.55,0.55,20.21
2011-03-23,0.84,0.98,1.5,0.59,19.17
2011-03-24,0.86,1.3,1.53,0.55,18.0
2011-03-25,0.82,1.16,1.12,0.53,17.91
2011-03-28,0.83,1.21,1.3,0.56,19.44
2011-03-29,0.74,1.37,0.93,0.52,18.16
2011-03-30,0.76,0.94,1.15,0.54,17.71
2011-03-31,0.86,1.52,1.25,0.56,17.74
2011-04-01,0.9,1.45,1.47,0.51,17.4
2011-04-04,1.04,1.4,2.61,0.59,17.5
2011-04-05,0.81,1.08,1.39,0.56,17.25
2011-04-06,0.68,0.8,1.08,0.55,16.9
2011-04-07,0.88,1.3,1.59,0.53,17.11
2011-04-08,0.86,0.93,1.43,0.58,17.87
2011-04-11,0.96,1.23,1.73,0.62,16.59
2011-04-12,1.1,1.17,2.48,0.58,17.09
2011-04-13,0.87,0.72,1.9,0.65,16.92
2011-04-14,0.97,1.05,1.6,0.69,16.27
2011-04-15,0.93,1.68,1.17,0.63,15.32
2011-04-18,0.85,0.95,1.37,0.6,16.96
2011-04-19,0.89,0.96,1.85,0.64,15.83
2011-04-20,0.92,1.38,1.66,0.51,15.07
2011-04-21,0.92,1.27,1.41,0.62,14.69
2011-04-25,0.74,0.84,1.19,0.57,15.77
2011-04-26,0.86,0.88,1.56,0.57,15.62
2011-04-27,0.87,1.24,1.31,0.59,15.35
2011-04-28,0.82,0.91,1.39,0.54,14.62
2011-04-29,0.92,1.26,1.36,0.59,14.75
2011-05-02,0.83,1.09,1.54,0.5,15.99
2011-05-03,0.89,1.11,1.47,0.61,16.7
2011-05-04,1.01,1.41,1.43,0.72,17.08
2011-05-05,1.06,1.67,1.36,0.65,18.2
2011-05-06,0.97,1.09,1.45,0.62,18.4
2011-05-09,0.79,0.75,1.23,0.63,17.16
2011-05-10,0.8,0.98,1.17,0.58,15.91
2011-05-11,0.95,1.29,1.34,0.67,16.95
2011-05-12,0.86,0.95,1.19,0.67,16.03
2011-05-13,0.92,0.85,1.41,0.73,17.07
2011-05-16,0.94,1.1,1.9,0.61,18.24
2011-05-17,1.14,1.15,2.12,0.75,17.55
2011-05-18,0.96,0.97,1.67,0.68,16.23
2011-05-19,0.96,1.14,1.3,0.7,15.52
2011-05-20,1.05,1.18,1.57,0.75,17.43
2011-05-23,1.04,1.43,1.34,0.69,18.27
2011-05-24,0.8,0.99,1.13,0.61,17.82
2011-05-25,0.73,0.93,1.31,0.51,17.07
2011-05-26,0.91,1.27,1.22,0.6,16.09
2011-05-27,0.71,0.68,1.21,0.51,15.98
2011-05-31,0.76,0.64,1.48,0.54,15.45
2011-06-01,1.09,1.39,1.45,0.76,18.3
2011-06-02,1.06,1.11,1.56,0.71,18.09
2011-06-03,1.23,2.04,1.5,0.71,17.95
2011-06-06,1.11,1.14,1.86,0.8,18.49
2011-06-07,1.05,1.17,1.65,0.74,18.07
2011-06-08,1.16,0.96,1.92,0.95,18.79
2011-06-09,1.02,0.96,1.74,0.77,17.77
2011-06-10,1.17,1.03,1.6,1.01,18.86
2011-06-13,1.07,1.03,1.96,0.73,19.61
2011-06-14,1.02,1.17,1.55,0.65,18.26
2011-06-15,1.37,1.36,1.76,1.09,21.32
2011-06-16,1.12,0.89,1.62,1.03,22.73
2011-06-17,1.2,1.05,1.56,1.09,21.85
2011-06-20,0.88,1.16,1.54,0.57,19.99
2011-06-21,0.95,1.14,1.57,0.59,18.86
2011-06-22,0.84,1.0,1.39,0.53,18.52
2011-06-23,1.03,1.32,1.37,0.65,19.29
2011-06-24,1.07,1.51,1.31,0.7,21.1
2011-06-27,0.84,0.75,1.57,0.62,20.56
2011-06-28,0.9,1.02,1.41,0.59,19.17
2011-06-29,1.02,0.99,2.04,0.56,17.27
2011-06-30,0.93,1.03,1.54,0.54,16.52
2011-07-01,0.86,1.13,1.05,0.55,15.87
2011-07-05,1.11,1.53,1.86,0.64,16.06
2011-07-06,1.04,1.3,1.66,0.71,16.34
2011-07-07,0.84,1.05,1.18,0.56,15.95
2011-07-08,1.01,1.16,1.89,0.58,15.95
2011-07-11,1.15,1.35,1.67,0.74,18.39
2011-07-12,1.09,1.25,1.8,0.67,19.87
2011-07-13,1.0,1.32,1.34,0.67,19.91
2011-07-14,1.05,1.04,1.56,0.78,20.8
2011-07-15,1.07,1.43,1.63,0.64,19.53
2011-07-18,0.95,1.09,1.45,0.68,20.95
2011-07-19,0.67,0.68,1.14,0.51,19.21
2011-07-20,0.79,0.76,1.54,0.61,19.09
2011-07-21,0.75,0.64,1.55,0.56,17.56
2011-07-22,0.84,0.83,1.68,0.6,17.52
2011-07-25,0.91,0.92,1.96,0.6,19.35
2011-07-26,0.8,0.89,1.55,0.58,20.23
2011-07-27,1.1,1.22,1.77,0.66,22.98
2011-07-28,0.91,1.08,1.14,0.68,23.74
2011-07-29,1.17,1.23,1.66,0.77,25.25
2011-08-01,1.13,1.19,1.61,0.76,23.66
2011-08-02,1.15,1.12,1.82,0.68,24.79
2011-08-03,1.28,1.2,2.12,0.77,23.38
2011-08-04,1.3,1.12,1.84,0.96,31.66
2011-08-05,1.21,1.22,1.56,0.94,32.0
2011-08-08,1.35,1.33,1.68,1.07,48.0
2011-08-09,1.39,1.57,2.09,0.85,35.06
2011-08-10,1.21,1.4,1.54,0.81,42.99
2011-08-11,1.01,1.26,1.37,0.62,39.0
2011-08-12,1.08,1.3,1.35,0.75,36.36
2011-08-15,1.12,1.61,1.31,0.68,31.87
2011-08-16,1.05,0.98,1.87,0.74,32.85
2011-08-17,1.34,1.64,1.88,0.8,31.58
2011-08-18,1.48,1.41,2.38,0.96,42.67
2011-08-19,1.33,1.14,1.98,1.03,43.05
2011-08-22,1.09,1.48,1.49,0.73,42.44
2011-08-23,1.02,1.17,1.66,0.67,36.27
2011-08-24,1.18,1.54,1.86,0.66,35.9
2011-08-25,1.26,1.58,1.87,0.77,39.76
2011-08-26,1.17,1.49,1.45,0.73,35.59
2011-08-29,0.99,1.71,1.25,0.54,32.28
2011-08-30,1.15,1.45,1.68,0.72,32.89
2011-08-31,1.21,1.16,2.27,0.65,31.62
2011-09-01,1.08,1.27,1.53,0.69,31.82
2011-09-02,1.41,1.55,2.04,0.84,33.92
2011-09-06,1.26,1.57,1.68,0.75,37.0
2011-09-07,0.89,1.07,1.07,0.62,33.38
2011-09-08,1.13,1.22,1.85,0.71,34.32
2011-09-09,1.32,1.39,1.83,0.86,38.52
2011-09-12,1.24,1.39,1.87,0.72,38.59
2011-09-13,1.17,1.21,1.92,0.71,36.91
2011-09-14,1.04,1.25,1.41,0.64,34.6
2011-09-15,1.01,1.22,1.26,0.68,31.97
2011-09-16,1.02,1.16,1.42,0.67,30.98
2011-09-19,0.98,1.09,1.58,0.62,32.73
